reino,nombre científico,Nombe Completo,vernacular_name,Estatus_RD
Animalia,Tyrannus caudifasciatus,Tyrannus caudifasciatus,Manjuila,RESIDENTE PERMANENTE (RP)     
Animalia,Tyrannus forficatus,Tyrannus forficatus,Cola de tijera,MIGRATORIA (M)                
Animalia,Myiarchus crinitus,Myiarchus crinitus,Papamoscas,MIGRATORIA (M)                
Animalia,Riparia riparia,Riparia riparia,Golondrina,MIGRATORIA (M)                
Animalia,Tachycineta bicolor,Tachycineta bicolor,Golondrina,MIGRATORIA (M)                
Animalia,Stelgidopteryx serripennis,Stelgidopteryx serripennis,Golondrina,MIGRATORIA (M)                
Animalia,Hirundo rustica,Hirundo rustica,Golondrina,MIGRATORIA (M)                
Animalia,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,Golondrina,MIGRATORIA (M)                
Animalia,Petrochelidon fulva,Petrochelidon fulva,Golondrina de cueva,RESIDENTE PERMANENTE (RP)     
Animalia,Progne subis,Progne subis,Golondrina grande,MIGRATORIA (M)                
Animalia,Progne dominicensis,Progne dominicensis,Golondrina grande,MIGRATORIO NIDIFICANTE (MN)   
Animalia,Bombycilla cedrorum,Bombycilla cedrorum,Ampelis americano,MIGRATORIA (M)                
Animalia,Mimus polyglottos,Mimus polyglottos,Ruiseor,RESIDENTE PERMANENTE (RP)     
Animalia,Dumetella carolinensis,Dumetella carolinensis,Zorzal gato,MIGRATORIA (M)                
Animalia,Margarops fuscatus,Margarops fuscatus,Zorzal pardo,RESIDENTE PERMANENTE (RP)     
Animalia,Mniotilta varia,Mniotilta varia,Pega palo,MIGRATORIA (M)                
Animalia,Protonotaria citrea,Protonotaria citrea,Cigita  cabeza amarilla ,MIGRATORIA (M)                
Animalia,Limnothlypis swainsonii,Limnothlypis swainsonii,Cigita,MIGRATORIA (M)                
Animalia,Helmitheros vermivorus,Helmitheros vermivorus,Cigita cabeza rayada,MIGRATORIA (M)                
Animalia,Vermivora chrysoptera,Vermivora chrysoptera,Cigita,MIGRATORIA (M)                
Animalia,Vermivora pinus,Vermivora pinus,Cigita ala azul,MIGRATORIA (M)                
Animalia,Vermivora peregrina,Vermivora peregrina,Cigita Tenesi,MIGRATORIA (M)                
Animalia,Vermivora ruficapilla,Vermivora ruficapilla,Cigita,MIGRATORIA (M)                
Animalia,Parula americana,Parula americana,Cigita parula,MIGRATORIA (M)                
Animalia,Dendroica magnolia,Dendroica magnolia,Cigita magnolia,MIGRATORIA (M)                
Animalia,Dendroica tigrina,Dendroica tigrina,Cigita tigrina,MIGRATORIA (M)                
Animalia,Dendroica caerulescens,Dendroica caerulescens,Cigita azul,MIGRATORIA (M)                
Animalia,Dendroica coronata,Dendroica coronata,Cigita  mirta ,MIGRATORIA (M)                
Animalia,Dendroica virens,Dendroica virens,Cigita pecninegro,MIGRATORIA (M)                
Animalia,Dendroica fusca,Dendroica fusca,Cigita del frio,MIGRATORIA (M)                
Animalia,Dendroica dominica,Dendroica dominica,Cigita garganta amarilla,MIGRATORIA (M)                
Animalia,Dendroica castanea,Dendroica castanea,Cigita,MIGRATORIA (M)                
Animalia,Dendroica striata,Dendroica striata,Cigita casco prieto,PASAJERA(P)                   
Animalia,Dendroica pinus,Setophaga (Dendroica) pinus,Cigita del pinar,"RES. PERM. / POB MIG (RP,M)   "
Animalia,Dendroica kirtlandii,Dendroica kirtlandii,Cigita,MIGRATORIA (M)                
Animalia,Dendroica discolor,Dendroica discolor,Cigita de los prados,MIGRATORIA (M)                
Animalia,Dendroica palmarum,Dendroica palmarum,Cigita del palmar,MIGRATORIA (M)                
Animalia,Seiurus aurocapillus,Seiurus aurocapillus,Cigita saltarina,MIGRATORIA (M)                
Animalia,Seiurus noveboracensis,Seiurus noveboracensis,Cigita del agua,MIGRATORIA (M)                
Animalia,Seiurus motacilla,Seiurus motacilla,Cigita del ro,MIGRATORIA (M)                
Animalia,Oporornis formosus,Oporornis formosus,Cigita de Kentucki,MIGRATORIA (M)                
Animalia,Oporornis agilis,Oporornis agilis,Cigita de lentes,MIGRATORIA (M)                
Animalia,Oporornis philadelphia,Oporornis philadelphia,Cigita triste,MIGRATORIA (M)                
Animalia,Geothlypis trichas,Geothlypis trichas,Cigita enmascarada,MIGRATORIA (M)                
Animalia,Wilsonia citrina,Wilsonia citrina,Cigita gorra negra,MIGRATORIA (M)                
Animalia,Wilsonia pusilla,Wilsonia pusilla,Cigita,MIGRATORIA (M)                
Animalia,Wilsonia canadensis,Wilsonia canadensis,Cigita,MIGRATORIA (M)                
Animalia,Setophaga ruticilla,Setophaga ruticilla,"Candelita, Bijirita",MIGRATORIA (M)                
Animalia,Vireo griseus,Vireo griseus,Cigita,MIGRATORIA (M)                
Animalia,Vireo flavifrons,Vireo flavifrons,Cigita,MIGRATORIA (M)                
Animalia,Vireo altiloquus,Vireo altiloquus,Julian Chiv,MIGRATORIO NIDIFICANTE (MN)   
Animalia,Vireo olivaceus,Vireo olivaceus,Vireo de ojos rojos,MIGRATORIA (M)                
Animalia,Vireo gilvus,Vireo gilvus,Vireo cantor,MIGRATORIA (M)                
Animalia,Vireo crassirostris,Vireo crassirostris,Vireo de Bahamas,MIGRATORIA (M)                
Animalia,Dolichonyx oryzivorus,Dolichonyx oryzivorus,Tordo arrocero,MIGRATORIA (M)                
Animalia,Agelaius humeralis,Agelaius humeralis,Mayito,RESIDENTE PERMANENTE (RP)     
Animalia,Icterus spurius,Icterus spurius,Calandria caf,MIGRATORIA (M)                
Animalia,Icterus galbula,Icterus galbula,Oropendola,MIGRATORIA (M)                
Animalia,Icterus dominicensis,Icterus dominicensis,Cigua canaria,ENDEMICA (E)                  
Animalia,Quiscalus niger,Quiscalus niger,Chinchiln,RESIDENTE PERMANENTE (RP)     
Animalia,Molothrus bonariensis,Molothrus bonariensis,Pjaro vaquero,RESIDENTE PERMANENTE (RP)     
Animalia,Pheucticus ludovicianus,Pheucticus ludovicianus,Degollado,MIGRATORIA (M)                
Animalia,Passerina cyanea,Passerina cyanea,Azulejo,MIGRATORIA (M)                
Animalia,Tiaris bicolor,Tiaris bicolor,Juana Maruca,RESIDENTE PERMANENTE (RP)     
Animalia,Tiaris olivacea,Tiaris olivacea,Cigita de hierba,RESIDENTE PERMANENTE (RP)     
Animalia,Passerculus sandwichensis,Passerculus sandwichensis,Gorrin sabanero comn,MIGRATORIA (M)                
Animalia,Ammodramus savannarum,Ammodramus savannarum,Tumbarrocio,RESIDENTE PERMANENTE (RP)     
Animalia,Melospiza lincolnii,Melospiza lincolnii,gorrin de Lincoln,MIGRATORIA (M)                
Animalia,Melospiza melodia,Melospiza melodia,gorrin meldico,MIGRATORIA (M)                
Animalia,Sicalis flaveola,Sicalis flaveola,Jilguero Azafanado,INTRODUCIDA (I)               
Animalia,Amandava amandava,Amandava amandava,Bengal rojo,INTRODUCIDA (I)               
Animalia,Lonchura malacca,Lonchura malacca,Monjita tricolor,INTRODUCIDA (I)               
Animalia,Lonchura punctulata,Lonchura punctulata,Cigita pechijabao ,INTRODUCIDA (I)               
Animalia,Passer domesticus,Passer domesticus,Gorrin domstico,INTRODUCIDA (I)               
Animalia,Corvus leucognaphalus,Corvus leucognaphalus,Cuervo,ENDEMICA (E)                  
Animalia,Turdus migratorius,Turdus migratorius,Petrojo americano,MIGRATORIA (M)                
Animalia,Turdus plumbeus,Turdus plumbeus,Chua-chua,RESIDENTE PERMANENTE (RP)     
Animalia,Hylocichla mustelina,Hylocichla mustelina,Zorzal ,MIGRATORIA (M)                
Animalia,Catharus ustulatus,Catharus ustulatus,Zorzal migratorio,MIGRATORIA (M)                
Animalia,Catharus fuscescens,Catharus fuscescens,Zorzal rojiso,MIGRATORIA (M)                
Animalia,Polioptila caerulea,Polioptila caerulea,Monjita,MIGRATORIA (M)                
Animalia,Regulus calendula,Regulus calendula,Reyezuelo rub,MIGRATORIA (M)                
Animalia,Piranga olivacea,Piranga olivacea,Tanagra rojinegra,MIGRATORIA (M)                
Animalia,Piranga rubra,Piranga rubra,Tanagra del paso,MIGRATORIA (M)                
Animalia,Euphonia musica,Euphonia musica,Jilguerillo,RESIDENTE PERMANENTE (RP)     
Animalia,Coereba flaveola,Coereba flaveola,Cigita comn,RESIDENTE PERMANENTE (RP)     
Animalia,Noctilio leporinus,Noctilio leporinus,Murcielago Pescador,NO DEFINIDO                   
Animalia,Equus asinus,Equus asinus,Burro,INTRODUCIDA (I)               
Animalia,Equus caballus,Equus caballus,Caballo,NO DEFINIDO                   
Animalia,Capra hircus,Capra hircus,Chivo,NO DEFINIDO                   
Animalia,Felis catus,Felis catus,Gato,NO DEFINIDO                   
Animalia,Bos taurus,Bos taurus,Vaca,INTRODUCIDA (I)               
Animalia,Vanessa virginiensis,Vanessa virginiensis,Almirante,NO DEFINIDO                   
Animalia,Calonectris diomedea,Calonectris diomedea,Pardela grande,PASAJERA(P)                   
